make,fuel-type,aspiration,num-of-doors,wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,bore,horsepower,city-mpg,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_fwd,drive-wheels_rwd,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,price
18063.18181818182,0,0,0,109.1,188.8,68.9,3012,6,173,3.58,134.0,18,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,21485.0
8295.5,0,0,0,96.5,175.4,65.2,2304,4,110,3.15,86.0,27,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,8845.0
7875.444444444444,0,0,0,93.7,157.3,63.8,1989,4,90,2.97,68.0,31,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6692.0
27273.0,0,0,1,94.5,168.9,68.3,2778,4,151,3.94,143.0,19,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,22018.0
18063.18181818182,0,0,0,109.1,188.8,68.9,2952,4,141,3.78,114.0,23,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,16845.0
8295.5,0,0,1,86.6,144.6,63.9,1713,4,92,2.91,58.0,49,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,6479.0
5863.0,0,0,0,94.5,158.8,63.6,1909,4,90,3.03,70.0,38,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6575.0
8831.6,0,0,0,97.0,173.5,65.4,2455,4,108,3.62,94.0,25,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,10198.0
10733.375,0,0,1,94.5,165.3,63.8,1889,4,97,3.15,69.0,31,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,5499.0
15848.0,0,1,0,108.0,186.7,68.3,3130,4,134,3.61,142.0,18,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,18150.0
10006.25,0,0,1,102.9,183.5,67.7,2976,6,171,3.27,161.0,20,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,16558.0
17859.166666666668,0,0,1,99.8,177.3,66.3,2507,5,136,3.19,110.0,19,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,15250.0
9595.0,0,0,0,96.1,181.5,66.5,2579,4,132,3.46,95.0,23,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,9295.0
8362.0,0,0,0,93.7,157.3,63.8,1967,4,90,2.97,68.0,31,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6229.0
9766.142857142857,0,0,1,93.7,157.3,64.4,1918,4,92,2.97,68.0,37,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,5389.0
8831.6,0,0,0,97.0,172.0,65.4,2385,4,108,3.62,82.0,24,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,9233.0
10733.375,0,0,0,100.4,181.7,66.5,3095,6,181,3.43,152.0,17,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13499.0
10006.25,0,0,0,102.4,175.6,66.5,2458,4,122,3.31,92.0,27,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,11248.0
10733.375,0,0,0,97.2,173.4,65.2,2324,4,120,3.33,97.0,27,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,8949.0
10006.25,1,1,0,102.4,175.6,66.5,2480,4,110,3.27,73.0,30,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,10698.0
10733.375,0,0,0,97.2,173.4,65.2,2302,4,120,3.33,97.0,27,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,9549.0
8295.5,0,0,1,93.7,150.0,64.0,1837,4,79,2.91,60.0,38,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,5399.0
22865.0,0,0,0,101.2,176.8,64.8,2765,6,164,3.31,121.0,21,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,21105.0
8295.5,0,0,0,96.5,157.1,63.9,2024,4,92,2.92,76.0,30,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,7295.0
8362.0,0,0,0,93.7,167.3,63.8,2191,4,98,2.97,68.0,31,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,7609.0
8916.5,0,0,0,94.3,170.7,61.8,2337,4,111,3.31,78.0,24,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,6785.0
18063.18181818182,0,0,0,104.3,188.8,67.2,2912,4,141,3.78,114.0,23,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,12940.0
10733.375,0,0,0,94.5,170.2,63.8,2024,4,97,3.15,69.0,31,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,7349.0
8831.6,0,0,1,93.3,157.3,63.8,2240,4,108,3.62,73.0,26,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,7603.0
10415.285714285714,0,0,0,93.1,166.8,64.2,1950,4,91,3.08,68.0,31,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,7395.0
9595.0,0,0,1,96.1,176.8,66.6,2460,4,132,3.46,95.0,23,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,9895.0
10006.25,0,0,1,94.5,168.7,64.0,2300,4,98,3.24,112.0,26,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9538.0
8295.5,0,0,1,96.5,169.1,66.0,2293,4,110,3.15,100.0,25,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,10345.0
8362.0,0,0,0,93.7,167.3,63.8,1989,4,90,2.97,68.0,31,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6692.0
15848.0,1,1,0,107.9,186.7,68.4,3252,4,152,3.7,95.0,28,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,17950.0
7875.444444444444,0,1,0,93.7,157.3,63.8,2191,4,98,3.03,102.0,24,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,8558.0
8831.6,0,0,0,97.2,172.0,65.4,2340,4,108,3.62,94.0,26,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,9960.0
10733.375,0,0,0,100.4,184.6,66.5,3060,6,181,3.43,152.0,19,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13499.0
15848.0,1,1,0,114.2,198.9,68.4,3485,4,152,3.7,95.0,25,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,17075.0
15498.333333333334,0,0,1,94.5,171.2,65.5,2823,6,152,2.68,154.0,19,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,16500.0
9766.142857142857,0,1,1,96.3,173.0,65.4,2370,4,110,3.17,116.0,23,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,9959.0
34125.0,0,0,1,102.0,191.7,70.6,3950,12,304,3.54,207.0,13,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,36000.0
18063.18181818182,0,1,0,104.3,188.8,67.2,3045,4,130,3.62,162.0,17,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,18420.0
18063.18181818182,0,0,0,104.3,188.8,67.2,2935,4,141,3.78,114.0,24,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,15985.0
9766.142857142857,0,0,0,96.3,172.4,65.4,2403,4,110,3.17,116.0,23,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,9279.0
10006.25,0,0,1,94.5,168.7,64.0,2265,4,98,3.24,112.0,26,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9298.0
8295.5,0,0,1,96.5,167.5,65.2,2236,4,110,3.15,86.0,27,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,7895.0
18063.18181818182,0,0,0,104.3,188.8,67.2,3034,4,141,3.78,114.0,23,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,13415.0
10415.285714285714,0,0,0,98.8,177.8,66.5,2425,4,122,3.39,84.0,26,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,11245.0
7875.444444444444,0,1,1,93.7,157.3,63.8,2128,4,98,3.03,102.0,24,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,7957.0
8831.6,0,1,0,97.0,172.0,65.4,2510,4,108,3.62,111.0,24,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,11259.0
10733.375,0,0,1,91.3,170.7,67.9,3071,6,181,3.43,160.0,19,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,17199.0
8295.5,0,0,1,93.7,150.0,64.0,1956,4,92,2.91,76.0,30,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,7129.0
22865.0,0,0,1,101.2,176.8,64.8,2710,6,164,3.31,121.0,21,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,20970.0
18063.18181818182,0,1,0,104.3,188.8,67.2,3157,4,130,3.62,162.0,17,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,18950.0
10006.25,0,0,1,94.5,168.7,64.0,2169,4,98,3.19,70.0,29,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,8058.0
