symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,horsepower,peak-rpm,city-mpg,highway-mpg,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_fwd,drive-wheels_rwd,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,price
-1,95.0,18063.18181818182,0,0,0,109.1,188.8,68.9,55.5,3012,6,173,3.58,134.0,5500.0,18,23,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,21485.0
0,85.0,8295.5,0,0,0,96.5,175.4,65.2,54.1,2304,4,110,3.15,86.0,5800.0,27,33,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,8845.0
1,148.0,7875.444444444444,0,0,0,93.7,157.3,63.8,50.6,1989,4,90,2.97,68.0,5500.0,31,38,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6692.0
3,186.0,27273.0,0,0,1,94.5,168.9,68.3,50.2,2778,4,151,3.94,143.0,5500.0,19,27,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,22018.0
-1,95.0,18063.18181818182,0,0,0,109.1,188.8,68.9,55.5,2952,4,141,3.78,114.0,5400.0,23,28,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,16845.0
2,137.0,8295.5,0,0,1,86.6,144.6,63.9,50.8,1713,4,92,2.91,58.0,4800.0,49,54,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,6479.0
0,81.0,5863.0,0,0,0,94.5,158.8,63.6,52.0,1909,4,90,3.03,70.0,5400.0,38,43,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6575.0
0,89.0,8831.6,0,0,0,97.0,173.5,65.4,53.0,2455,4,108,3.62,94.0,5200.0,25,31,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,10198.0
1,128.0,10733.375,0,0,1,94.5,165.3,63.8,54.5,1889,4,97,3.15,69.0,5200.0,31,37,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,5499.0
0,161.0,15848.0,0,1,0,108.0,186.7,68.3,56.0,3130,4,134,3.61,142.0,5600.0,18,24,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,18150.0
3,197.0,10006.25,0,0,1,102.9,183.5,67.7,52.0,2976,6,171,3.27,161.0,5200.0,20,24,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,16558.0
2,115.0,17859.166666666668,0,0,1,99.8,177.3,66.3,53.1,2507,5,136,3.19,110.0,5500.0,19,25,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,15250.0
0,115.0,9595.0,0,0,0,96.1,181.5,66.5,55.2,2579,4,132,3.46,95.0,5200.0,23,31,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,9295.0
1,154.0,8362.0,0,0,0,93.7,157.3,63.8,50.6,1967,4,90,2.97,68.0,5500.0,31,38,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6229.0
2,161.0,9766.142857142857,0,0,1,93.7,157.3,64.4,50.8,1918,4,92,2.97,68.0,5500.0,37,41,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,5389.0
0,102.0,8831.6,0,0,0,97.0,172.0,65.4,54.3,2385,4,108,3.62,82.0,4800.0,24,25,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,9233.0
0,128.0,10733.375,0,0,0,100.4,181.7,66.5,55.1,3095,6,181,3.43,152.0,5200.0,17,22,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13499.0
-1,65.0,10006.25,0,0,0,102.4,175.6,66.5,53.9,2458,4,122,3.31,92.0,4200.0,27,32,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,11248.0
0,106.0,10733.375,0,0,0,97.2,173.4,65.2,54.7,2324,4,120,3.33,97.0,5200.0,27,34,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,8949.0
