Feature,Importance
horsepower,0.12716370877979935
engine-size,0.12493720794166036
make,0.1183880549665089
curb-weight,0.11790127802702106
highway-mpg,0.08496863815082477
city-mpg,0.08394217628839727
wheel-base,0.0601475645963956
width,0.05926455825951281
num-of-cylinders,0.03926636759467699
length,0.03855076698615793
drive-wheels_rwd,0.03110313532053736
bore,0.02706098208867962
fuel-system_mpfi,0.012071433987116815
drive-wheels_fwd,0.011807027108875944
height,0.011805304943955798
peak-rpm,0.009083987453339175
fuel-system_2bbl,0.008078964892362189
normalized-losses,0.006307806420331237
engine-type_ohcv,0.0044800128601123115
body-style_hardtop,0.004378854254484728
symboling,0.0036372662037041045
aspiration,0.003093895060544408
body-style_sedan,0.0026735221310969144
engine-type_ohc,0.001872190789573019
engine-type_ohcf,0.0017323430591479013
num-of-doors,0.0013280287940300244
body-style_hatchback,0.0012394059555407482
body-style_wagon,0.0009697446442339967
fuel-type,0.0007369794939289356
fuel-system_idi,0.000663678129775162
engine-type_l,0.0005421778515888154
fuel-system_spdi,0.0002685122498743572
fuel-system_4bbl,0.00020506045768308706
engine-type_rotor,0.00016797154333749516
fuel-system_spfi,0.0001161783727971607
fuel-system_mfi,4.521434239368641e-05
